summary,Climate Hydrology Ecology Support System subset,
originalResource,{"url":"https://eip.ceh.ac.uk/apps/chess/","title":"EIP | CHESS"},
metadataURL,https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
termsAndConditions,Licensing conditions apply,CHESS Met https://catalogue.ceh.ac.uk/documents/80887755-1426-4dab-a4a6-250919d5020c,CHESS PET https://catalogue.ceh.ac.uk/documents/d329f4d6-95ba-4134-b77a-a377e0755653,
credits,CEH, Terms and conditions apply,
location,{"type":"point","x":346360.0318294383,"y":484443.4420243838,"spatialReference":{"wkid":27700}},
DATES,Potential evapotranspiration with interception correction (mm/day)
2011-06-30,2.825368
2011-07-01,2.9692914
2011-07-02,3.1614358
2011-07-03,4.1086226
2011-07-04,3.5289445
2011-07-05,2.7863543
2011-07-06,2.2726614
2011-07-07,2.8042295
2011-07-08,2.1689196
2011-07-09,2.9640021
2011-07-10,2.3562942
2011-07-11,2.9976647
2011-07-12,2.2353015
2011-07-13,3.2920854
2011-07-14,3.7201376
2011-07-15,2.743446
2011-07-16,2.211069
2011-07-17,1.906405
2011-07-18,1.8693945
2011-07-19,1.9830618
2011-07-20,1.9143162
2011-07-21,2.1463025
2011-07-22,2.1372821
2011-07-23,3.1893091
2011-07-24,3.9773626
2011-07-25,2.706138
2011-07-26,2.6615648
2011-07-27,2.6564214
2011-07-28,2.0069993
2011-07-29,2.1519797
2011-07-30,2.832963
2011-07-31,2.1962018
2011-08-01,1.5710298
2011-08-02,2.0408976
2011-08-03,2.8026156
2011-08-04,1.7324173
2011-08-05,3.1319997
2011-08-06,1.6421983
2011-08-07,1.9383377
2011-08-08,2.3773797
2011-08-09,3.1770043
2011-08-10,1.0666409
2011-08-11,1.39932
2011-08-12,0.7023498
2011-08-13,1.840795
2011-08-14,2.3021278
2011-08-15,2.5528955
2011-08-16,1.8939521
2011-08-17,2.2686331
2011-08-18,1.4684455
2011-08-19,2.3735926
2011-08-20,2.3492332
2011-08-21,2.334031
2011-08-22,2.0031059
2011-08-23,1.8221563
2011-08-24,2.0819309
2011-08-25,2.001013
2011-08-26,1.2526926
2011-08-27,1.6276224
2011-08-28,1.9376553
2011-08-29,1.9665977
2011-08-30,1.3838307
2011-08-31,1.1054313
2011-09-01,1.8199055
2011-09-02,1.8206531
2011-09-03,1.2775035
2011-09-04,1.7343425
2011-09-05,1.632558
2011-09-06,2.0569365
2011-09-07,1.8856138
2011-09-08,1.6894999
2011-09-09,1.1677148
2011-09-10,1.6695611
2011-09-11,2.0378146
2011-09-12,2.3830903
2011-09-13,2.6837347
2011-09-14,2.064806
2011-09-15,1.4301516
2011-09-16,1.0856274
2011-09-17,1.3355758
2011-09-18,1.0519993
2011-09-19,1.1123921
2011-09-20,1.1401541
2011-09-21,1.6956406
2011-09-22,1.5534977
2011-09-23,1.447603
2011-09-24,1.2902789
2011-09-25,1.3133624
2011-09-26,1.376046
2011-09-27,1.174881
2011-09-28,1.8901005
2011-09-29,1.522553
2011-09-30,1.7391111
2011-10-01,1.1167841
2011-10-02,0.511416
2011-10-03,1.326493
2011-10-04,1.6391773
2011-10-05,1.3615935
2011-10-06,1.8151582
2011-10-07,1.5089474
2011-10-08,0.37855238
2011-10-09,0.8360088
2011-10-10,1.0099345
2011-10-11,0.9503064
2011-10-12,0.45693263
2011-10-13,0.39325383
2011-10-14,0.6166405
2011-10-15,0.8998129
2011-10-16,0.82327807
2011-10-17,1.1961582
2011-10-18,1.394232
2011-10-19,1.0089983
2011-10-20,0.6759466
2011-10-21,0.8914822
2011-10-22,1.3570244
2011-10-23,1.3970718
2011-10-24,1.5659628
2011-10-25,0.72737336
2011-10-26,0.4314987
2011-10-27,0.2686749
2011-10-28,0.5632309
2011-10-29,0.62331647
2011-10-30,0.65909505
2011-10-31,0.63764435
2011-11-01,0.38102263
2011-11-02,0.72529614
2011-11-03,0.51145506
2011-11-04,0.10810312
2011-11-05,0.10033638
2011-11-06,0
2011-11-07,0
2011-11-08,0.17869498
2011-11-09,0.41036135
2011-11-10,0.18000266
2011-11-11,0.50632894
2011-11-12,0.12344468
2011-11-13,0.18367866
2011-11-14,0.36883083
2011-11-15,0.22534288
2011-11-16,0.18532428
2011-11-17,0.430376
2011-11-18,0.6413662
2011-11-19,0.08539094
2011-11-20,0.0358653
2011-11-21,0.06297768
2011-11-22,0.034874704
2011-11-23,0.5131657
2011-11-24,0.9767606
2011-11-25,0.92220414
2011-11-26,0.99026465
2011-11-27,1.1532824
2011-11-28,0.7677674
2011-11-29,1.1700732
2011-11-30,0.9468672
2011-12-01,0.48877683
2011-12-02,0.36018336
2011-12-03,1.0241122
2011-12-04,0.5976772
2011-12-05,0.56586194
2011-12-06,0.39677495
2011-12-07,1.0783337
2011-12-08,1.2419133
2011-12-09,0.67787206
2011-12-10,0.16552429
2011-12-11,0.19909875
2011-12-12,0.45001838
2011-12-13,1.4180858
2011-12-14,0.9267075
2011-12-15,0
2011-12-16,0
2011-12-17,0.16640021
2011-12-18,0
2011-12-19,0.12446166
2011-12-20,0.47212696
2011-12-21,0.035669994
2011-12-22,0.3803223
2011-12-23,0.47693557
2011-12-24,0.6225879
2011-12-25,0.72203875
2011-12-26,1.0603094
2011-12-27,0.4808607
2011-12-28,1.4145
2011-12-29,1.0377064
2011-12-30,0.3148626
2011-12-31,0.34084523
2012-01-01,0.8110493
2012-01-02,0.8049745
2012-01-03,1.2277906
2012-01-04,1.0753696
2012-01-05,1.2208972
2012-01-06,0.39797252
2012-01-07,1.1723549
2012-01-08,0.51286983
2012-01-09,0.308944
2012-01-10,0.45050997
